"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","should update section data without throwing","DocumentClient Simple Tests","2026-05-04","passed","2026-05-04","","Basic Functionality Tests","",""
"","1","should get section data without throwing","DocumentClient Simple Tests","2026-05-04","passed","2026-05-04","","Basic Functionality Tests","",""
"","2","should reorder sections in a document","New Database Methods","2026-05-04","passed","2026-05-04","","reorderSections","",""
"","62","should cleanup expired entries","CacheManager","2026-05-04","passed","2026-05-04","","TTL (Time To Live)","",""
"","1","should reject paragraph without required fields","Schema Validation Tests","2026-05-04","passed","2026-05-04","","Paragraph Schema Validation","",""
"","4","should reject table without columns","Schema Validation Tests","2026-05-04","passed","2026-05-04","","Table Schema Validation","",""
"","25","should initialize with base URL and API key","DocumentClient","2026-05-04","passed","2026-05-04","","Initialization","",""
"","1","should search documents without throwing","DocumentClient Simple Tests","2026-05-04","passed","2026-05-04","","Basic Functionality Tests","",""
"","1","should validate schema without throwing","DocumentClient Simple Tests","2026-05-04","passed","2026-05-04","","Basic Functionality Tests","",""
"","1","should bulk create sections without throwing","DocumentClient Simple Tests","2026-05-04","passed","2026-05-04","","Basic Functionality Tests","",""
"","5","should verify all 26 methods exist and are callable","DocumentClient Simple Tests","2026-05-04","passed","2026-05-04","","Complete Coverage Test","",""
"","1","should delete key","CacheManager","2026-05-04","passed","2026-05-04","","Basic Operations","",""
"","1","should download document without throwing","DocumentClient Simple Tests","2026-05-04","passed","2026-05-04","","Basic Functionality Tests","",""
"","2","should have all section operations methods","DocumentClient Simple Tests","2026-05-04","passed","2026-05-04","","Method Existence Tests","",""
"","2","should search documents by name","New Database Methods","2026-05-04","passed","2026-05-04","","searchDocuments","",""
"","9","should duplicate a document successfully","New Controller Methods","2026-05-04","passed","2026-05-04","","duplicateDocument","",""
"","1","should get document sections without throwing","DocumentClient Simple Tests","2026-05-04","passed","2026-05-04","","Basic Functionality Tests","",""
"","1","should reject invalid page size","Schema Validation Tests","2026-05-04","passed","2026-05-04","","PDF Styling Schema Validation","",""
"","24","should duplicate a document with all sections","New Database Methods","2026-05-04","passed","2026-05-04","","duplicateDocument","",""
"","2","should reject invalid column type","Schema Validation Tests","2026-05-04","passed","2026-05-04","","Table Schema Validation","",""
"","4","should validate a complete header object","Schema Validation Tests","2026-05-04","passed","2026-05-04","","Header/Footer Schema Validation","",""
"","1","should validate a complete image object","Schema Validation Tests","2026-05-04","passed","2026-05-04","","Image Schema Validation","",""
"","3","should reject chart without required fields","Schema Validation Tests","2026-05-04","passed","2026-05-04","","Chart Schema Validation","",""
"","2","should reject invalid content type","Schema Validation Tests","2026-05-04","passed","2026-05-04","","Header/Footer Schema Validation","",""
"","2","should return same instance","BuildCacheManager","2026-05-04","passed","2026-05-04","","Singleton Pattern","",""
"","5","should return proper error for invalid endpoints","API Integration Tests (No Database)","2026-05-04","passed","2026-05-04","","API Structure Verification","",""
"","2","should delete generated document without throwing","DocumentClient Simple Tests","2026-05-04","passed","2026-05-04","","Basic Functionality Tests","",""
